pincode,state_name,city,State CODE
132013,HARYANA,KARNAL,HR
132015,HARYANA,KARNAL,HR
132016,HARYANA,KARNAL,HR
132017,HARYANA,KARNAL,HR
132022,HARYANA,KARNAL,HR
132023,HARYANA,KARNAL,HR
132024,HARYANA,KARNAL,HR
132025,HARYANA,KARNAL,HR
132026,HARYANA,KARNAL,HR
132033,HARYANA,KARNAL,HR
132036,HARYANA,KARNAL,HR
132037,HARYANA,KARNAL,HR
132039,HARYANA,KARNAL,HR
132040,HARYANA,KARNAL,HR
132041,HARYANA,KARNAL,HR
132045,HARYANA,KARNAL,HR
132046,HARYANA,KARNAL,HR
132054,HARYANA,KARNAL,HR
132101,HARYANA,KARNAL,HR
132102,HARYANA,KARNAL,HR
132103,HARYANA,KARNAL,HR
132104,HARYANA,KARNAL,HR
132105,HARYANA,KARNAL,HR
132106,HARYANA,KARNAL,HR
132107,HARYANA,KARNAL,HR
132108,HARYANA,KARNAL,HR
132109,HARYANA,KARNAL,HR
132110,HARYANA,KARNAL,HR
132111,HARYANA,KARNAL,HR
132113,HARYANA,KARNAL,HR
